name,company,release_date,context_window_k,params_B,type
GPT-3,OpenAI,2020-06-01,2,175,Base
GPT-3.5 Turbo,OpenAI,2022-11-30,4,175,Chat
GPT-4,OpenAI,2023-03-14,8,1000,Chat
GPT-4 Turbo,OpenAI,2023-11-06,128,1000,Chat
GPT-4o,OpenAI,2024-05-13,128,200,Chat
GPT-4o Mini,OpenAI,2024-07-18,128,8,Chat
o1,OpenAI,2024-09-12,128,200,Reasoning
o1 Mini,OpenAI,2024-09-12,128,20,Reasoning
o3,OpenAI,2025-04-16,200,200,Reasoning
GPT-4.5,OpenAI,2025-02-27,128,1000,Chat
Claude 3 Opus,Anthropic,2024-03-04,200,137,Chat
Claude 3.5 Sonnet,Anthropic,2024-06-20,200,137,Chat
Claude 3.7 Sonnet,Anthropic,2025-02-24,200,137,Chat
Gemini 1.5 Pro,Google,2024-02-15,1000,175,Chat
Gemini 2.0 Flash,Google,2024-12-11,1000,100,Chat
Llama 3.1 405B,Meta,2024-07-23,128,405,Chat
